studyName,"Date GMT",Island,Colony,"Breeding Pairs"
PAL9697,1996-11-19,TOR,5.0,71
PAL9697,1996-11-19,TOR,6.0,37
PAL9697,1996-11-19,TOR,13.0,188
PAL9697,1996-11-19,TOR,23.0,174
PAL9697,1996-11-19,TOR,23.1,18
PAL9697,1996-11-20,TOR,12.0,177
PAL9697,1996-11-20,TOR,15.0,110
PAL9697,1996-11-22,CHR,1.0,171
PAL9697,1996-11-22,CHR,2.0,48
PAL9697,1996-11-22,CHR,3.0,58
PAL9697,1996-11-22,CHR,3.1,41
PAL9697,1996-11-22,CHR,4.1,5
PAL9697,1996-11-22,CHR,4.2,6
PAL9697,1996-11-22,CHR,5.0,37
PAL9697,1996-11-22,CHR,6.0,88
PAL9697,1996-11-22,CHR,7.0,264
PAL9697,1996-11-22,CHR,7.1,17
PAL9697,1996-11-22,CHR,7.2,52
PAL9697,1996-11-22,CHR,8.0,141
PAL9697,1996-11-22,CHR,9.1,30
PAL9697,1996-11-22,CHR,10.0,6
PAL9697,1996-11-22,COR,1.0,4
PAL9697,1996-11-22,COR,2.0,72
PAL9697,1996-11-22,COR,3.0,33
PAL9697,1996-11-22,COR,4.0,11
PAL9697,1996-11-22,COR,5.0,245
PAL9697,1996-11-22,COR,5.1,123
PAL9697,1996-11-22,COR,6.0,58
PAL9798,1997-11-23,CHR,1.0,129
PAL9798,1997-11-23,CHR,2.0,33
PAL9798,1997-11-23,CHR,3.0,49
PAL9798,1997-11-23,CHR,3.1,29
PAL9798,1997-11-23,CHR,4.1,4
PAL9798,1997-11-23,CHR,4.2,4
PAL9798,1997-11-23,CHR,5.0,25
PAL9798,1997-11-23,CHR,6.0,54
PAL9798,1997-11-23,CHR,7.0,207
PAL9798,1997-11-23,CHR,7.1,12
PAL9798,1997-11-23,CHR,7.2,40
PAL9798,1997-11-23,CHR,8.0,59
PAL9798,1997-11-23,CHR,9.1,24
PAL9798,1997-11-23,CHR,10.0,3
PAL9798,1997-11-23,LIT,1.0,10
PAL9798,1997-11-23,LIT,2.0,17
PAL9798,1997-11-23,LIT,3.0,0
